Base_Code,Base_Name,Latitude,Longitude
AKH,Am Khe Army Airfield,13.993,108.648498
AND,Anderson Air Force Base,13.576111,144.924444
BHA,Bien Hoa Air Base,10.976944,106.818333
BMT,Ban Me Thuot East Airfield,12.665833,108.117778
BNH,Bien Hoa Air Base,10.976944,106.818333
BTY,Binh Thuy Air Base,10.0852,105.712
CCH,Cu Chi Base Camp,10.982,106.507
CLI,Chu Lai Air Base,15.455,108.69
CLK,Clark Air Base,15.185833,120.559722
CRB,Cam Ranh Base,11.998056,109.219444
DBG,Da Nang Air Base,16.043889,108.199444
DHA,Dong Ha Combat Base,16.813,107.116
DNG,Da Nang Air Base,16.043889,108.199444
DTG,Dau Tieng Base Camp,11.283,106.363
DUC,Duc Co Camp,13.788,107.627
KNT,Kontum Airfield,14.355833,108.015
KRT,Korat Royal Thai Air Force Base,14.930556,102.080833
KSN,Khe Sanh Combat Base,16.6542,106.72423
LZS,Da Nang Air Base,16.043889,108.199444
NKP,Nakhon Phanom Royal Thai Navy Base,17.383889,104.643056
NTR,Nha Trang Air Base,12.2275,109.192778
PBI,Da Nang Air Base,16.043889,108.199444
PCV,Naha Air Base,26.195833,127.645833
PHC,Phu Cat Air Base,13.955,109.042222
PHR,Phan Rang Air Base,11.633611,108.951944
PLK,Pleiku Air Base,14.004444,108.017222
QNN,Qui Nhon Airfield,13.766,109.222
QTR,Da Nang Air Base,16.043889,108.199444
SBE,Sone Be Base Camp,11.819,106.961
STR,Soc Trang Airfield,9.58,105.959
THA,Tuy Hoa Air Base,13.049444,109.333611
TKL,Takhli Royal Thai Air Force Base,15.268056,100.292222
TNN,Tay Ninh Combat Base,11.325,106.05
TSN,Tan Son Nhut Air Base,10.818889,106.651944
UBN,Ubon Royal Thai Air Force Base,15.251111,104.87
UDN,Udorn Royal Thai Air Force Base,17.386389,102.788333
UTP,U-Tapao Royal Thai Navy Airfield,12.679722,101.005
V35,Cam Ranh Base,11.998056,109.219444
VTA,Vung Tau Air Base,10.370278,107.093333
