All_Info
23 March 1961:  C-47B Skytrain; Ser # 44-76330; USAF; 315 AD Detachment on TDY from Osan; Vientiane
"2 February 1962:  C-123B Provider; Ser # 56-4370; USAF; Special Aerial Spray Flight, attached to 464 TCW; Tan Son Nhut"
"11 February 1962:  SC-47A Skytrain; Ser # 43-15732; USAF; Detachment 2A, 4400 CCTS; Bien Hoa"
"20 April 1962:  C-123B Provider; Ser # 56-4368; USAF; Special Aerial Spray Flight, attached to 464 TCW; Tan Son Nhut"
"15 July 1962:  C-123B Provider; Ser # 56-4366; USAF; 777 TCS, 464 TCW on TDY; Da Nang"
"28 August 1962:  T-28D Trojan; Ser # 53-8376; USAF; Detachment 2A, 1 ACG; Bien Hoa"
"15 October 1962:  U-10A Courier; Ser # 62-5909; USAF; Detachment 2A, 1 ACG; Bien Hoa"
"16 October 1962:  T-28D Trojan; Ser # 53-8365; USAF; Detachment 2A, 1 ACG; Bien Hoa"
29 October 1962:  C-123B Provider; Ser # 56-4364; USAF; 464 TCW; Da Nang or Tan Son Nhut
"5 November 1962:  B-26B Invader; Ser # 44-35530; USAF; Detachment 2A, 1 ACG; Bien Hoa"
"3 February 1963:  B-26B Invader; Ser # 44-35692; USAF; Detachment 2A, 1 ACG; Bien Hoa"
"6 February 1963:  B-26B Invader; Ser # 44-35507; USAF; Detachment 2A, 1 ACG; Bien Hoa"
"8 April 1963:  B-26B Invader; Ser # 44-35525; USAF; Detachment 2A, 1 ACG; Bien Hoa"
"12 April 1963:  C-123B Provider; Ser # 56-4380; USAF; 777 TCS, 464 TCW on TDY; Don Muang"
"5 May 1963:  T-28D Trojan; Ser # 53-8370; USAF; Detachment 2A, 1 ACG; Bien Hoa"
"27 June 1963:  T-28D Trojan; Ser # 53-8375; USAF; Detachment 2A, 1 ACG; Bien Hoa"
"1 August 1963:  O-1F Bird Dog; Ser # unknown; USAF; 19 TASS, 34 TG; Bien Hoa"
"16 August 1963:  B-26B Invader; Ser # 44-34681; USAF; 1 ACS, 34 TG; Bien Hoa"
"2 September 1963:  B-26B Invader; Ser # 44-34682; USAF; 1 ACS, 34 TG; Bien Hoa"
"10 September 1963:  T-28D Trojan; Ser # 53-8367; USAF; 1 ACS, 34 TG; Bien Hoa"
"28 September 1963:  C-123B Provider; Ser # 55-4513; USAF; 311 TCS, 315 TCG; Da Nang detached to Don Muang"
"8 October 1963:  T-28D Trojan; Ser # 53-8373; USAF; 1 ACS, 34 TG; Bien Hoa"
24 October 1963:  C-123B Provider; Ser # 56-4385; USAF; 315 TCG; Tan Son Nhut
"24 November 1963:  B-26B Invader; Ser # 44-35703; USAF; 1 ACS, 34 TG; Bien Hoa"
"6 December 1963:  RB-26L Invader; Ser # 44-35782; USAF; 1 ACS, 34 TG; Bien Hoa"
"20 December 1963:  O-1F Bird Dog; Ser # 57-2831; USAF; 19 TASS, 34 TG; Bien Hoa"
"7 January 1964:  B-26B Invader; Ser # 44-35207; USAF; 1 ACS, 34 TG; Bien Hoa"
"14 January 1964:  B-26B Invader; Ser # 44-35566; USAF; 1 ACS, 34 TG; Bien Hoa"
"14 January 1964:  T-28D Trojan; Ser # 53-8372; USAF; 1 ACS, 34 TG; Bien Hoa"
"21 January 1964:  T-28D Trojan; Ser # 53-8374; USAF; 1 ACS, 34 TG; Bien Hoa"
"18 February 1964:  T-28D Trojan; Ser # 53-8369; USAF; 1 ACS, 34 TG; Bien Hoa"
"19 February 1964:  T-28D Trojan; Ser # 53-8855; USAF; 1 ACS, 34 TG; Bien Hoa"
"8 March 1964:  A-1H Skyraider; Ser # unknown; USAF; 1 ACS, 34 TG; Bien Hoa"
"26 March 1964:  O-1F Bird Dog; Ser # 55-4695; USAF; 19 TASS, 34 TG; Bien Hoa detached to Khe Sanh"
"28 March 1964:  T-28D Trojan; Ser # 53-8362; USAF; 1 ACS, 34 TG; Bien Hoa"
