Crash_Date,Aircraft_Type,Aircraft_SN,Service,Military_Unit,Base
23 March 1961,  C-47B Skytrain,   4476330, USAF, 315 AD Detachment on TDY from Osan, Vientiane
2 February 1962,  C-123B Provider,   564370, USAF," Special Aerial Spray Flight, attached to 464 TCW", Tan Son Nhut
11 February 1962,  SC-47A Skytrain,   4315732, USAF," Detachment 2A, 4400 CCTS", Bien Hoa
20 April 1962,  C-123B Provider,   564368, USAF," Special Aerial Spray Flight, attached to 464 TCW", Tan Son Nhut
15 July 1962,  C-123B Provider,   564366, USAF," 777 TCS, 464 TCW on TDY", Da Nang
28 August 1962,  T-28D Trojan,   538376, USAF," Detachment 2A, 1 ACG", Bien Hoa
15 October 1962,  U-10A Courier,   625909, USAF," Detachment 2A, 1 ACG", Bien Hoa
16 October 1962,  T-28D Trojan,   538365, USAF," Detachment 2A, 1 ACG", Bien Hoa
29 October 1962,  C-123B Provider,   564364, USAF, 464 TCW, Da Nang or Tan Son Nhut
5 November 1962,  B-26B Invader,   4435530, USAF," Detachment 2A, 1 ACG", Bien Hoa
3 February 1963,  B-26B Invader,   4435692, USAF," Detachment 2A, 1 ACG", Bien Hoa
6 February 1963,  B-26B Invader,   4435507, USAF," Detachment 2A, 1 ACG", Bien Hoa
8 April 1963,  B-26B Invader,   4435525, USAF," Detachment 2A, 1 ACG", Bien Hoa
12 April 1963,  C-123B Provider,   564380, USAF," 777 TCS, 464 TCW on TDY", Don Muang
5 May 1963,  T-28D Trojan,   538370, USAF," Detachment 2A, 1 ACG", Bien Hoa
27 June 1963,  T-28D Trojan,   538375, USAF," Detachment 2A, 1 ACG", Bien Hoa
1 August 1963,  O-1F Bird Dog,   unknown, USAF," 19 TASS, 34 TG", Bien Hoa
16 August 1963,  B-26B Invader,   4434681, USAF," 1 ACS, 34 TG", Bien Hoa
2 September 1963,  B-26B Invader,   4434682, USAF," 1 ACS, 34 TG", Bien Hoa
10 September 1963,  T-28D Trojan,   538367, USAF," 1 ACS, 34 TG", Bien Hoa
28 September 1963,  C-123B Provider,   554513, USAF," 311 TCS, 315 TCG", Da Nang detached to Don Muang
8 October 1963,  T-28D Trojan,   538373, USAF," 1 ACS, 34 TG", Bien Hoa
24 October 1963,  C-123B Provider,   564385, USAF, 315 TCG, Tan Son Nhut
24 November 1963,  B-26B Invader,   4435703, USAF," 1 ACS, 34 TG", Bien Hoa
6 December 1963,  RB-26L Invader,   4435782, USAF," 1 ACS, 34 TG", Bien Hoa
20 December 1963,  O-1F Bird Dog,   572831, USAF," 19 TASS, 34 TG", Bien Hoa
7 January 1964,  B-26B Invader,   4435207, USAF," 1 ACS, 34 TG", Bien Hoa
14 January 1964,  B-26B Invader,   4435566, USAF," 1 ACS, 34 TG", Bien Hoa
14 January 1964,  T-28D Trojan,   538372, USAF," 1 ACS, 34 TG", Bien Hoa
