Crash_Date,Crash_Time,Aircraft_Type,Aircraft_SN,Base,Wing,Squadron,Call_Sign,Operations_Code,Mission_Type,Weapon,Target_Objective,Ceiling_Vis,JCS_NR,Route_Pack,Maneuver,Pass,Angle,Altitude,Airspeed,Mission_Phase,Where_Hit,Fire_Observed,Hit_Country,Hit_Longitude,Hit_Latitude,Loss_Country,Loss_Longitude,Loss_Latitude,Defense_Type,Pilot_Hit,Pilot_Rank,Pilot,Pilot_Egress,Pilot_Status,Pilot_Condition,Pilot_Recovered,Co_Pilot_Nav_Rank,Co_Pilot_Nav,Co_Pilot_Nav_Egress,Co_Pilot_Nav_Status,Co_Pilot_Nav_Condition,Co_Pilot_Recovered
1962-02-02,_,C-123B,564370,TSN,464TCW,_,_,IC,,_,Practice spray run,/..,_,_,Pull up,0,0,0,0,Enroute,_,_,SVn,_,_,Svn,_,_,_,_,Capt,Groves F. C.,Crash,KIA,_,_,Capt,Larsen R. D.,Crash,KIA,_,_
1962-02-11,_,SC-47A,4315732,BHA,_,4400CCTS,_,IC,,_,Leaflet drop near Dalat,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,10700E,1145N,Gunfire (combat associated),_,Capt,Kissam E. K.,Crash,KIA,_,_,Capt,Hartson S. G.,Crash,KIA,_,_
1962-08-28,_,T-28B,538376,_,_,_,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Simpson R. L.,_,KIA,_,_,Capt,_,_,_,_,_
1962-10-15,_,U-10,625909,_,_,_,_,IC,,_,Not applicable,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Booth H. W.,Crash,KIA,_,_,Capt,Foxx R. L.,Crash,KIA,_,_
1962-10-16,_,T-28B,538365,_,_,_,_,IC,,_,Not applicable,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Chambers B. L.,Ejection,Recovered,Minor injuries,_,Capt,_,_,_,_,_
1962-11-05,_,RB-26B,4435530,_,_,_,_,IC,,_,_,/..,_,_,_,0,0,0,0,At target,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Bennett R. D.,Crash,KIA,_,_,Capt,Tully W. B.,Crash,KIA,_,_
1963-02-03,_,B-26B,4435692,_,_,_,_,IC,,_,_,/..,_,_,Strafe,0,0,0,0,At target,_,_,SVn,_,_,SVn,_,_,Small arms,_,Capt,Shaugnessy J.,Crash,KIA,_,_,Capt,Bartley J. P.,Crash,KIA,_,_
1963-02-06,_,RB-26B,4435507,_,_,_,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,Engine,_,SVn,_,_,SVn,_,_,Gunfire,_,Maj,ONeill J. R.,Crash,KIA,_,_,Maj,Johnson J. E.,Ejection,Recovered,Uninjured,_
1963-04-08,_,B-26B,4435525,_,_,_,_,IC,,_,_,/..,_,_,Strafe,0,0,0,0,At target,Left wing,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Mitchell A. C.,Crash,KIA,_,_,Capt,Campaigne J. A.,Crash,KIA,_,_
1963-06-27,_,T-28B,538375,_,_,_,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Terry C. H.,Crash,KIA,_,_,Capt,u,Crash,KIA,_,_
1963-08-16,_,B-26B,4434681,_,_,_,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,Left wing,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,McClean J. H.,Crash,KIA,_,_,Capt,Bedal A. E.,Crash,KIA,_,_
1963-09-02,_,B-26B,4434682,_,_,_,_,IC,,_,Not applicable,/..,_,_,_,0,0,0,0,Return,_,_,SVn,_,_,SVn,_,_,Gunfire (combat associated),_,Capt,Purcell H. P.,_,KIA,_,_,Capt,McKinney N. B.,_,KIA,_,_
1963-09-10,_,T-28B,538367,_,_,_,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Automatic weapons,_,Capt,Meek E. C.,Crash,Recovered,Major injuries,u Helo,Capt,_,_,_,_,_
1963-10-08,_,T-28B,538373,_,_,_,_,IC,,_,_,/..,_,_,Dive,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Wadsworth D. A.,Crash,KIA,_,_,Capt,u,Crash,KIA,_,_
1963-10-24,_,C-123,564385,TSN,315TCW,_,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Heavy gunfire,_,Capt,Fitzgerald W. M.,Crash,KIA,_,_,Capt,Brown G. R.,Crash,KIA,_,_
1963-11-24,_,B-26B,4435703,_,_,_,_,IC,,_,Not applicable,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Cody H. R.,Crash,KIA,_,_,Capt,Lielmanis A. K.,Crash,KIA,_,_
1963-12-06,_,B-26B,4435782,_,_,_,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Bitton G. W.,Crash,KIA,_,_,Capt,Gorton T. F.,Crash,KIA,_,_
1964-01-14,_,B-26B,4435566,BHA,34TASG,1ACS,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Maj,Mitchell C. B.,Crash,KIA,_,_,Maj,Hickman V. J.,Crash,KIA,_,_
1964-01-14,_,T-28D,538372,_,_,_,_,IC,,_,_,/..,_,_,Dive,0,0,0,0,At target,Left wing,Y,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Adkins E. M.,Crashlanded,Recovered,Minor injuries,_,Capt,u,Crashlanded,Recovered,Uninjured,_
1964-02-18,_,T-28,538369,_,_,_,_,IC,,_,VietCong in foxholes,/..,_,_,_,0,0,0,0,_,Right wing,Y,SVn,_,_,SVn,_,_,Gunfire,_,u,u,Crashlanded,Recovered,Uninjured,_,u,u,Crashlanded,Recovered,Uninjured,_
1964-02-19,_,T-28,538855,_,_,_,_,IC,,_,_,/..,_,_,Strafe,6,0,0,0,At target,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Lukasik B. F.,Crash,KIA,_,_,Capt,u,Crash,KIA,_,_
1964-03-24,_,T-28,538362,BHA,34TASG,_,_,IC,,_,_,/..,_,_,Dive,3,35,1600,250,At target,,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Shank E. G.,Crash,KIA,_,_,Capt,u,Crash,KIA,_,_
1964-03-26,_,O-1F,554695,KSN,_,19TASS,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Whitesides R. L.,_,KIA,_,_,Capt,Thompson F. J.,_,KIA,_,_
1964-04-09,_,T-28B,538361,_,_,_,_,IC,,_,_,/..,_,_,Strafe,3,0,0,0,At target,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Brumet R. N.,Crash,KIA,_,_,Capt,u,Crash,KIA,_,_
1964-06-26,_,T-28D,517871,BHA,_,1ACS,_,IC,,Napalm,_,/..,_,_,_,2,0,0,0,At target,Engine,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Johnson E. S.,Ejection,Recovered,Uninjured,Helo,Capt,Vantram N.,Ejection,Recovered,Uninjured,_
1964-08-06,_,B-57B,533870,CLK,405FW,_,_,IC,,_,Not applicable,/..,_,_,_,0,0,0,0,Enroute,_,_,SVn,_,_,SVn,_,_,Gunfire,_,Capt,Cutrer F. C.,Crash,KIA,_,_,Capt,Kaster L. L.,Crash,KIA,_,_
1964-08-14,_,F-105,624371,TKL,41AD,36TFS,_,YT,,_,_,/..,_,_,_,0,0,0,0,_,Aft fuselage,_,LS,_,_,THL,_,_,Gunfire,_,u,u,_,Recovered,Uninjured,_,u,_,_,_,_,_
1964-08-18,_,F-100D,563085,TKL,_,428TFS,_,YT,,_,_,/..,_,_,_,0,0,0,0,_,_,N,LS,_,_,LS,_,_,Gunfire,N,1Lt,Clark C. A.,Ejection,Recovered,Uninjured,u Helo,1Lt,_,_,_,_,_
1964-08-29,N,A-1E,52132465,BHA,34TACG,1ACS,_,IC,,_,Not applicable,/..,_,_,_,0,0,0,0,Enroute,_,_,SVn,_,_,SVn,_,_,30cal AAA,p,Capt,Goss R. D.,Crash,KIA,_,_,Capt,u,Crash,KIA,_,_
1964-09-22,N,A-1E,52132441,BHA,34TACG,1ACS,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,10535E,0930N,50cal AAA,_,1Lt,Flynn C. E. III,Crashlanded,KIA,_,_,1Lt,u,Crashlanded,POW,Uninjured,_
1964-09-22,N,A-1E,52132656,BHA,34TACG,1ACS,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,10535E,0930N,50cal AAA,_,Capt,May W. H.,Ejection,Recovered,Uninjured,_,Capt,u,Ejection,POW,Uninjured,_
1964-09-26,_,A-1E,52132450,BHA,34TACG,1ACS,_,IC,,_,_,/..,_,_,_,2,0,0,0,At target,_,_,SVn,_,_,SVn,10604E,1005N,Gunfire,_,Maj,Harris W. C.,Crashlanded,Recovered,Uninjured,u Helo,Maj,u,Crashlanded,Recovered,Uninjured,u Helo
1964-10-02,_,A-1E,52132654,BHA,34TACG,1ACS,_,IC,,Napalm,_,/..,_,_,_,4,0,0,0,At target,_,_,SVn,_,_,SVn,10627E,0934N,Gunfire,_,Capt,Walker K. E.,Crash,KIA,_,_,Capt,Fi B. F.,Crash,KIA,_,_
1964-10-24,_,C-123,554549,_,_,_,_,_,,_,Bu Prang Hit Dak dam,/..,_,_,_,0,0,0,0,Enroute,Right engine,_,CMB,_,_,CMB,_,_,Gunfire,_,1Lt,Bourque V. M.,Crash,KIA,_,_,1Lt,Armstrong R. G.,Crash,KIA,_,_
1964-10-26,_,A-1E,52132411,TSN,34TACG,1ACS,_,IC,,Napalm,_,/..,_,_,_,0,0,0,0,At target,_,_,SVn,_,_,SVn,10635E,1048N,Gunfire,_,1Lt,Dyer G. C.,Crash,KIA,_,_,1Lt,u,Crash,KIA,_,_
1964-11-07,0430D,O-1F,572828,BHA,34TACG,1ACS,_,IC,,_,_,/..,_,_,_,0,0,0,0,_,_,_,SVn,_,_,SVn,_,_,Gunfire,_,LtCol,Holman A. H.,Crashlanded,Recovered,Minor injuries,_,LtCol,Battle P. L.,Crashlanded,Recovered,Minor injuries,_
